title,runtimegenre(s),directors,writer(s),actor(s),rating(s),number of rating(s)
Stalker,2h 42min,Drama; Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy; Boris Strugatskiy,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn,8.1,"92,650"
Butch Cassidy and the Sundance Kid,1h 50min,Crime; Drama; Biography,George Roy Hill,William Goldman,Paul Newman; Robert Redford; Katharine Ross,8.1,"181,282"
Singin' in the Rain,1h 43min,Musical; Comedy; Romance,Stanley Donen; Gene Kelly,Betty Comden; Adolph Green,Gene Kelly; Donald O'Connor; Debbie Reynolds,8.3,"187,805"
Sunset Blvd.,1h 50min,Drama; Film-Noir,Billy Wilder,Charles Brackett; Billy Wilder,William Holden; Gloria Swanson; Erich von Stroheim,8.4,"171,444"
Shutter Island,2h 18min,Thriller; Mystery,Martin Scorsese,Laeta Kalogridis; Dennis Lehane,Leonardo DiCaprio; Emily Mortimer; Mark Ruffalo,8.1,"962,226"
One Flew Over the Cuckoo's Nest,2h 13min,Drama,Milos Forman,Lawrence Hauben; Bo Goldman,Jack Nicholson; Louise Fletcher; Will Sampson,8.7,"799,351"
Once Upon a Time in the West,2h 45min,Western,Sergio Leone,Sergio Donati; Sergio Leone,Henry Fonda; Charles Bronson; Claudia Cardinale,8.5,"260,692"
Shichinin no samurai,3h 27min,Drama; Adventure,Akira Kurosawa,Akira Kurosawa; Shinobu Hashimoto,Toshirô Mifune; Takashi Shimura; Keiko Tsushima,8.7,"272,444"
The Bridge on the River Kwai,2h 41min,War; Drama; Adventure,David Lean,Pierre Boulle; Carl Foreman,William Holden; Alec Guinness; Jack Hawkins,8.2,"179,946"
Gone Girl,2h 29min,Drama; Crime; Mystery,David Fincher,Gillian Flynn; Gillian Flynn,Ben Affleck; Rosamund Pike; Neil Patrick Harris,8.1,"726,133"
Eskiya,2h 8min,Drama; Crime; Thriller,Yavuz Turgul,Yavuz Turgul,Sener Sen; Ugur Yücel; Sermin Hürmeriç,8.3,"52,496"
Jodaeiye Nader az Simin,2h 3min,Drama; Family; Crime,Asghar Farhadi,Asghar Farhadi,Payman Maadi; Leila Hatami; Sareh Bayat,8.3,"187,453"
Indiana Jones and the Last Crusade,2h 7min,Fantasy; Action; Adventure,Steven Spielberg,Jeffrey Boam; George Lucas,Harrison Ford; Sean Connery; Alison Doody,8.3,"609,688"
La vita è bella,1h 56min,Drama; Comedy; Romance,Roberto Benigni,Vincenzo Cerami; Roberto Benigni,Roberto Benigni; Nicoletta Braschi; Giorgio Cantarini,8.6,"525,814"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35min,Comedy,Stanley Kubrick,Stanley Kubrick; Terry Southern,Peter Sellers; George C. Scott; Sterling Hayden,8.4,"401,753"
